"","index","ActivityName","angle.tBodyAccJerkMean..gravityMean.","angle.tBodyGyroMean.gravityMean.","angle.tBodyGyroJerkMean.gravityMean.","angle.X.gravityMean.","angle.Y.gravityMean.","angle.Z.gravityMean."
"1",1,"STANDING",0.030400372,-0.46476139,-0.018445884,-0.84124676,0.17994061,-0.058626924
"2",2,"STANDING",-0.0074345661,-0.73262621,0.70351059,-0.8447876,0.18028889,-0.054316717
"3",3,"STANDING",0.17789948,0.10069921,0.80852908,-0.84893347,0.18063731,-0.049117815
"4",4,"STANDING",-0.012892494,0.64001104,-0.48536645,-0.84864938,0.18193476,-0.047663183
"5",5,"STANDING",0.12254196,0.69357829,-0.61597061,-0.84786525,0.18515116,-0.043892254
"6",6,"STANDING",-0.14343901,0.27504075,-0.36822404,-0.84963158,0.18482251,-0.042126383
"7",7,"STANDING",-0.23062193,0.01463669,-0.18951153,-0.85215025,0.18216997,-0.043009987
"8",8,"STANDING",0.59399581,-0.56187067,0.46738333,-0.85101671,0.18377851,-0.041975833
"9",9,"STANDING",0.080936389,-0.23431263,0.11779701,-0.84797148,0.18898248,-0.037363927
"10",10,"STANDING",-0.12773018,-0.48287054,-0.070670135,-0.84829438,0.19031033,-0.034417291
"11",11,"STANDING",0.59579055,-0.47580245,0.11593062,-0.85156175,0.18760932,-0.034681168
"12",12,"STANDING",-0.065980273,0.57886112,-0.65194513,-0.8527234,0.18605036,-0.035852089
"13",13,"STANDING",-0.10122189,0.63908399,0.76548488,-0.85065446,0.18761054,-0.035997955
"14",14,"STANDING",-0.090277545,-0.1324028,0.49881419,-0.84977267,0.1888122,-0.035063399
"15",15,"STANDING",-0.05871932,0.031207971,-0.26879133,-0.73093729,0.28315855,0.036443909
"16",16,"STANDING",-0.029076714,-0.013034217,-0.056927156,-0.76110079,0.26311858,0.02417211
"17",17,"STANDING",-0.048109773,-0.34047349,-0.22915457,-0.75917219,0.26432447,0.027014344
"18",18,"STANDING",0.092367048,-0.82223861,0.36755744,-0.75936327,0.26403279,0.029664019
"19",19,"STANDING",-0.033006915,-0.24057155,0.78819291,-0.76105187,0.26288599,0.029345734
"20",20,"STANDING",0.10256897,0.066134774,-0.41172948,-0.76062023,0.26316935,0.029573033
"21",21,"STANDING",0.19777391,0.25765721,-0.38110213,-0.76052773,0.26318349,0.030288454
"22",22,"STANDING",0.15039083,0.14233132,-0.85371129,-0.7620229,0.26217028,0.029986987
"23",23,"STANDING",-0.30129838,0.13257596,-0.022379316,-0.76150888,0.26255006,0.02963917
"24",24,"STANDING",-0.24954451,0.0069861792,-0.23519954,-0.75896013,0.26425623,0.030456029
"25",25,"STANDING",0.33700987,-0.43668499,-0.62292202,-0.75897692,0.26422361,0.030743151
